"Advertiser name",Category,Manufacturer,"Product code","Product name","Product affiliate link","Product picture","Price with VAT","Price with discount, with VAT","Free shipping","Gift included"
Bricolaj.ro,"LICHIDĂRI DE STOC#ILUMINAT SI ELECTRICE/Corpuri de iluminat decorative/Interior LED",eco,22466254,"Lustra LED Dhara 36W 4000K alb acril IP20 LL1606AL",//profitshare.ro/lps/z3F/K79/?redirect=https%3A%2F%2Fwww.bricolaj.ro%2Flustra-led-dhara-36w-4000k-alb-acril-ip20-ll1606al,https://www.bricolaj.ro/userfiles/ca09a8bc-7701-45bf-9ba2-a991712d7112/products/22466254_PRODUCT.jpg,96.92,89.87,0,0
Bricolaj.ro,"SCULE SI UNELTE/Scule de mana/Chei și tubulare/Chei combinate/Chei combinate metrice",Yato,7065748,"Cheie combinată răsucită cu clichet 8 mm Yato YT-01870",//profitshare.ro/lps/z3F/K79/?redirect=https%3A%2F%2Fwww.bricolaj.ro%2Fcheie-combinata-rasucita-cu-clichet-8-mm-yato-yt-01870,https://www.bricolaj.ro/userfiles/ca09a8bc-7701-45bf-9ba2-a991712d7112/products/7065748_PRODUCT.jpg,11,,0,0
Bricolaj.ro,PROMOTII,Hecht,12574095,"Lada pentru compost HECHT 6600, volum 600 litri, din plastic, negru",//profitshare.ro/lps/z3F/K79/?redirect=https%3A%2F%2Fwww.bricolaj.ro%2Fcompost-hecht-6600,https://www.bricolaj.ro/userfiles/ca09a8bc-7701-45bf-9ba2-a991712d7112/products/12574095_PRODUCT.jpg,421,,0,0
Bricolaj.ro,PROMOTII,Hecht,12573259,"Pistol de irigare - HECHT 02093",//profitshare.ro/lps/z3F/K79/?redirect=https%3A%2F%2Fwww.bricolaj.ro%2Fpistol-de-irigare-hecht-02093,https://www.bricolaj.ro/userfiles/ca09a8bc-7701-45bf-9ba2-a991712d7112/products/12573259_PRODUCT.jpg,52,,0,0
Bricolaj.ro,PROMOTII,Novelite,7565501,"Canal Cablu 80x40mm",//profitshare.ro/lps/z3F/K79/?redirect=https%3A%2F%2Fwww.bricolaj.ro%2Fcanal-cablu-80x40mm,https://www.bricolaj.ro/userfiles/ca09a8bc-7701-45bf-9ba2-a991712d7112/products/7565501_PRODUCT.jpg,30,19.44,0,0
Bricolaj.ro,PROMOTII,Vorel,7035559,"Cleste nivelare placi ceramice 20 - 70 mm Vorel 04699",//profitshare.ro/lps/z3F/K79/?redirect=https%3A%2F%2Fwww.bricolaj.ro%2Fcleste-nivelare-placi-ceramice-20-70-mm-vorel-04699,https://www.bricolaj.ro/userfiles/ca09a8bc-7701-45bf-9ba2-a991712d7112/products/7035559_PRODUCT.jpg,44.28,35.99,0,0
Bricolaj.ro,"CASA/Articole pentru baie si bucatarie/Accesorii dus/Coloane și seturi de duș",Korman,309009535,"Panou de dus inox SUS304 negru lucios Korman AT1CT-D1OC-RS1S-LYP/006",//profitshare.ro/lps/z3F/K79/?redirect=https%3A%2F%2Fwww.bricolaj.ro%2Fpanou-de-dus-inox-sus304-negru-lucios-korman-at1ct-d1oc-rs1s-lyp-006,https://www.bricolaj.ro/userfiles/ca09a8bc-7701-45bf-9ba2-a991712d7112/products/309009535_PRODUCT.jpg,999,852.9,0,0
Bricolaj.ro,"CASA/Articole pentru baie si bucatarie/Accesorii dus/Coloane și seturi de duș",Korman,309009536,"Coloana dus inox SUS304 negru Korman HS005",//profitshare.ro/lps/z3F/K79/?redirect=https%3A%2F%2Fwww.bricolaj.ro%2Fcoloana-dus-inox-sus304-negru-korman-hs005,https://www.bricolaj.ro/userfiles/ca09a8bc-7701-45bf-9ba2-a991712d7112/products/309009536_PRODUCT.jpg,520,434.21,0,0
Bricolaj.ro,"CASA/Articole pentru baie si bucatarie/Accesorii dus/Coloane și seturi de duș",Korman,309009528,"Coloana dus inox SUS304 satinat Korman N/LY001",//profitshare.ro/lps/z3F/K79/?redirect=https%3A%2F%2Fwww.bricolaj.ro%2Fcoloana-dus-inox-sus304-satinat-korman-n-ly001,https://www.bricolaj.ro/userfiles/ca09a8bc-7701-45bf-9ba2-a991712d7112/products/309009528_PRODUCT.jpg,700,602.76,0,0
Bricolaj.ro,"CASA/Articole pentru baie si bucatarie/Accesorii dus/Coloane și seturi de duș",Korman,309009533,"Panou dus Inox SUS304 alb Korman LYP/002",//profitshare.ro/lps/z3F/K79/?redirect=https%3A%2F%2Fwww.bricolaj.ro%2Fpanou-dus-inox-sus304-alb-korman-lyp-002,https://www.bricolaj.ro/userfiles/ca09a8bc-7701-45bf-9ba2-a991712d7112/products/309009533_PRODUCT.jpg,1150,971.21,0,0
