"Advertiser name",Category,Manufacturer,"Product code","Product name","Product affiliate link","Product picture","Price with VAT","Price with discount, with VAT","Free shipping","Gift included"
Hiris.ro,"Cosmetice > Ingrijire ten > Peeling si Masti pentru ten",Kocostar,41394,"Masca de buze cu aroma de piersici Pink Lip mask, Kocostar, 3 g",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fpeeling-si-masti-pentru-ten%2Fkocostar%2Fmasca-de-buze-cu-aroma-de-piersici-pink-lip-mask-kocostar-3-g,https://cdnmpro.com/276449694/p/raw/1/masca-de-buze-cu-aroma-de-piersici-pink-lip-mask-kocostar-3-g~90161.jpg,17,,0,0
Hiris.ro,"Cosmetice > Ingrijire corp > Sapun si gel de dus copii",Klorane,41395,"Sapun solid bio pentru corp si par, Klorane Bebe, 100 g",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fsapun-si-gel-de-dus-copii%2Fklorane%2Fsapun-solid-bio-pentru-corp-si-par-klorane-bebe-100-g,https://cdnmpro.com/276449694/p/raw/2/sapun-solid-bio-pentru-corp-si-par-klorane-bebe-100-g~90162.jpg,34,,0,0
Hiris.ro,"Cosmetice > Ingrijire par > Styling",Joico,41393,"Spray pentru textura cu nivel de fixare 3 Body Shake Joico, 250 ml",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fstyling%2Fjoico%2Fspray-pentru-textura-cu-nivel-de-fixare-3-body-shake-joico-250-ml,https://cdnmpro.com/276449694/p/raw/9/spray-pentru-textura-cu-nivel-de-fixare-3-body-shake-joico-250-ml~90159.jpg,146,118,0,0
Hiris.ro,"cosmetice > ingrijire ten",SAUVE,41371,"Cremă de Față Antirid - Ultra-Lift Rejuvenation Protocol, SAUVE, 30 ml",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fingrijire-ten%2Fsauve%2Fcrema-de-fata-antirid-ultra-lift-rejuvenation-protocol-sauve-30-ml,https://cdnmpro.com/276449694/p/raw/8/crema-de-fata-antirid-ultra-lift-rejuvenation-protocol-sauve-30-ml~90128.jpg,139,,0,0
Hiris.ro,"cosmetice > ingrijire ten",SAUVE,41370,"Ser Hidratant Multi-Nutritiv - Super Hydrating 4 Complex, SAUVE, 30 ml",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fingrijire-ten%2Fsauve%2Fser-hidratant-multi-nutritiv-super-hydrating-4-complex-sauve-30-ml,https://cdnmpro.com/276449694/p/raw/7/ser-hidratant-multi-nutritiv-super-hydrating-4-complex-sauve-30-ml~90127.jpg,131,,0,0
Hiris.ro,"cosmetice > ingrijire ten",SAUVE,41367,"Ser Anti-Aging cu Retinol - Age Control System, SAUVE, 30 ml",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fingrijire-ten%2Fsauve%2Fser-anti-aging-cu-retinol-age-control-system-sauve-30-ml,https://cdnmpro.com/276449694/p/raw/6/ser-anti-aging-cu-retinol-age-control-system-sauve-30-ml~90116.jpg,146,,0,0
Hiris.ro,"cosmetice > ingrijire ten",SAUVE,41369,"Ser Vit C Antioxidant - Radiance Booster Essential, SAUVE, 30 ml",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fingrijire-ten%2Fsauve%2Fser-vit-c-antioxidant-radiance-booster-essential-sauve-30-ml,https://cdnmpro.com/276449694/p/raw/2/ser-vit-c-antioxidant-radiance-booster-essential-sauve-30-ml~90122.jpg,131,,0,0
Hiris.ro,"Produse pentru dus",Cartier,10029770,"Gel de dus Cartier L`Envol (Concentratie: Gel de dus, Gramaj: 200 ml)",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fproduse-pentru-dus%2Fcartier%2Fgel-de-dus-cartier-l-envol%3Fv%3D10029770,https://cdnmpro.com/276449694/p/raw/5/gel-de-dus-cartier-l-envol~33975.jpg,165,,0,0
Hiris.ro,"Produse pentru dus",Chopard,10028056,"Gel de Dus Chopard Wish (Concentratie: Gel de dus, Gramaj: 150 ml)",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fproduse-pentru-dus%2Fchopard%2Fgel-de-dus-chopard-wish%3Fv%3D10028056,https://cdnmpro.com/276449694/p/raw/3/gel-de-dus-chopard-wish~31663.jpg,89,69,0,0
Hiris.ro,"parfumuri > pentru ea",Lanvin,10027575,"Lanvin Me, Femei, Apa de Parfum (Concentratie: Apa de Parfum, Gramaj: 30 ml)",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fparfumuri-pentru-femei%2Flanvin%2Flanvin-me-femei-apa-de-parfum%3Fv%3D10027575,https://cdnmpro.com/276449694/p/raw/0/lanvin-me-femei-apa-de-parfum~10690.jpg,139,,0,0
Hiris.ro,"Cosmetice > Ingrijire ten > Creme si tratamente pentru fata",NOREVA,41392,"Crema pentru ingrijire intensiva globala Exfoliac Global 6 Noreva, 30 ml",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fcreme-si-tratamente-pentru-fata%2Fnoreva%2Fcrema-pentru-ingrijire-intensiva-globala-exfoliac-global-6-noreva-30-ml,https://cdnmpro.com/276449694/p/raw/2/crema-pentru-ingrijire-intensiva-globala-exfoliac-global-6-noreva-30~90152.jpg,73,59,0,0
Hiris.ro,"Cosmetice > Ingrijire ten > Creme si tratamente pentru fata",NOREVA,41391,"Fluid matifiant protector SPF 50+ Exfoliac Noreva, 40 ml",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fcreme-si-tratamente-pentru-fata%2Fnoreva%2Ffluid-matifiant-protector-spf-50-exfoliac-noreva-40-ml,https://cdnmpro.com/276449694/p/raw/1/fluid-matifiant-protector-spf-50-exfoliac-noreva-40-ml~90151.jpg,90,72.99,0,0
Hiris.ro,"Cosmetice > Ingrijire ten > Demachierea si curatarea tenului",NOREVA,41390,"Gel pentru curatare Actipur Noreva, 400 ml",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fdemachierea-si-curatarea-tenului%2Fnoreva%2Fgel-pentru-curatare-actipur-noreva-400-ml,https://cdnmpro.com/276449694/p/raw/3/gel-pentru-curatare-actipur-noreva-400-ml~90153.jpg,96,77,0,0
Hiris.ro,"Cosmetice > Ingrijire ten > Creme si tratamente pentru fata",NOREVA,41389,"Crema anti-imperfectiuni Stop Spot Actipur Noreva, 10 ml",//profitshare.ro/lps/P3s/K79/?redirect=https%3A%2F%2Fwww.hiris.ro%2Fcreme-si-tratamente-pentru-fata%2Fnoreva%2Fcrema-anti-imperfectiuni-stop-spot-actipur-noreva-10-ml,https://cdnmpro.com/276449694/p/raw/9/crema-anti-imperfectiuni-stop-spot-actipur-noreva-10-ml~90149.jpg,52,42,0,0
