"Advertiser name",Category,Manufacturer,"Product code","Product name","Product affiliate link","Product picture","Price with VAT","Price with discount, with VAT","Free shipping","Gift included"
ITGalaxy.ro,"combine frigorifice",Samus,"SCX344ED res5/RES","Combina frigorifica Resigilata SCX344ED Capacitate 260L Clasa E Inox",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fcombine-frigorifice%2Fsamus%2Fresigilata-scx344ed-capacitate-260l-clasa-e-inox-743959%2F,https://cdni.itgalaxy.ro/images/products/img_202407121600/743959/full/combina-frigorifica-samus-resigilata-scx344ed-capacitate-260l-clasa-e-inox-1793650.jpeg,1342.99,842.98,0,0
ITGalaxy.ro,frigidere,Samus,SRBI173/RES,"Frigider-Racitor Incorporabil Resigilat SRBI173 Capacitate Neta 129L Termostat Reglabil Usa Reversibila Alb",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Ffrigidere%2Fsamus%2Fresigilat-srbi173-capacitate-neta-129l-termostat-reglabil-usa-reversibila-alb-743687%2F,https://cdni.itgalaxy.ro/images/products/img_202407121600/743687/full/frigider-samus-resigilat-srbi173-capacitate-neta-129l-termostat-reglabil-usa-reversibila-alb-1793135.jpeg,749.99,499.99,0,0
ITGalaxy.ro,"combine frigorifice",Samus,"SCX344ED res4/RES","Combina frigorifica Resigilata SCX344ED Capacitate 260L Clasa E Inox",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fcombine-frigorifice%2Fsamus%2Fresigilata-scx344ed-capacitate-260l-clasa-e-inox-743270%2F,https://cdni.itgalaxy.ro/images/products/img_202407121600/743270/full/combina-frigorifica-samus-resigilata-scx344ed-capacitate-260l-clasa-e-inox-1792431.jpeg,1342.99,799.99,0,0
ITGalaxy.ro,"cuptoare electrice","NobeLTek BI","NLT FSO70X","Cuptor Electric NLT FSO70X 70l 2200W Grill Timer Termostat Sticla Dubla Ventilator Iluminare Gri Inox",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fcuptoare-electrice%2Fnobeltek-bi%2Fnlt-fso70x-726667%2F,https://cdni.itgalaxy.ro/images/products/img_202407121600/726667/full/cuptor-electric-nobeltek-bi-nlt-fso70x-70l-2200w-grill-timer-termostat-sticla-dubla-ventilator-iluminare-gri-inox-1756366.jpeg,516.99,,0,0
ITGalaxy.ro,hote,Hansa,OSC5132BH,"Hota OSC5132BH 3 Trepte de Putere Clasa C Maro",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fhote%2Fhansa%2Fosc5132bh-708768%2F,https://cdni.itgalaxy.ro/images/products/img_202405061642/708768/full/hota-hansa-osc5132bh-1714827.jpeg,255.99,,0,0
ITGalaxy.ro,"combine frigorifice",Samus,"SCX344ED res3/RES","Combina frigorifica Resigilata SCX344ED Capacitate 260L Clasa E Inox",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fcombine-frigorifice%2Fsamus%2Fresigilata-scx344ed-capacitate-260l-clasa-e-inox-742612%2F,https://cdni.itgalaxy.ro/images/products/img_202407121600/742612/full/combina-frigorifica-samus-resigilata-scx344ed-capacitate-260l-clasa-e-inox-1790614.jpeg,1342.99,849.99,0,0
ITGalaxy.ro,televizoare,Panasonic,TX-40MS490E,"Televizor LED TX-40MS490E Full HD Smart 100CM Negru",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Ftelevizoare%2Fpanasonic%2Ftelevizor-panasonic-full-hd-smart-102-cm-tx-40ms490e-710086%2F,https://cdni.itgalaxy.ro/images/products/img_202405061642/710086/full/televizor-led-panasonic-tx-40ms490e-full-hd-smart-102cm-negru-1718980.jpeg,1374.99,,0,0
ITGalaxy.ro,multifunctionale,HP,3PZ55A,"Multifunctionala Laser Monocrom 3PZ55A HP Enterprise  M430f A4 Fax Alb",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fmultifunctionale%2Fhp%2F3pz55a-hp-enterprise-m430f-a4-fax-alb-702278%2F,https://cdni.itgalaxy.ro/images/products/img_202403281547/702278/full/multifunctionala-hewlett-packard-3pz55a-1697643.jpeg,2892.99,2634.99,0,0
ITGalaxy.ro,"jocuri consola",Ubisoft,PS5X-0386,"Joc PS5 Star Wars Outlaws Special Day1 Edition",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Fjocuri-consola%2Fubisoft%2Fstar-wars-outlaws-special-day1-edition-699309%2F,https://cdni.itgalaxy.ro/images/products/img_202403281547/699309/full/joc-ps5-ubisoft-star-wars-outlaws-special-day1-edition-1691638.jpeg,348.99,,0,0
ITGalaxy.ro,"PC, Periferice & Software",Xiaomi,suport/xia/xrn/ne,"Suport SIM pentru Redmi Note 9",//profitshare.ro/lps/pPv/K79/?redirect=https%3A%2F%2Fwww.itgalaxy.ro%2Faccesorii-telefon%2Fxiaomi%2Fredmi-note-9-629445%2F,https://cdni.itgalaxy.ro/images/products/img_202312131220/629445/full/xiaomi-suport-sim-card-xiaomi-redmi-note-9-negru-1523228.jpeg,26.99,,0,0
