"Advertiser name",Category,Manufacturer,"Product code","Product name","Product affiliate link","Product picture","Price with VAT","Price with discount, with VAT","Free shipping","Gift included"
Perfectbijoux.ro,"brose cu cristale si perle","Perfect Bijoux",7754728,"Brosa fluture Elenia, aurie, cristal verde",//profitshare.ro/lps/mrq/K79/?redirect=https%3A%2F%2Fwww.perfectbijoux.ro%2Fcumpara%2Fbrosa-fluture-elenia-aurie-cristal-verde-7754728,https://cdnmpro.com/129530482/p/raw/1/brosa-fluture-elenia-aurie-cristal-verde~8397101.jpg,125,,1,0
Perfectbijoux.ro,cercei,"Perfect Bijoux",7754727,"Cercei ear cuff Dianca, asimetrici, cristale albe",//profitshare.ro/lps/mrq/K79/?redirect=https%3A%2F%2Fwww.perfectbijoux.ro%2Fcumpara%2Fcercei-ear-cuff-dianca-asimetrici-cristale-albe-7754727,https://cdnmpro.com/129530482/p/raw/3/cercei-ear-cuff-dianca-asimetrici-cristale-albe~8397093.jpg,75,,1,0
Perfectbijoux.ro,cercei,"Perfect Bijoux",7754732,"Cercei lungi Adelia, pentru evenimente si mireasa",//profitshare.ro/lps/mrq/K79/?redirect=https%3A%2F%2Fwww.perfectbijoux.ro%2Fcumpara%2Fcercei-lungi-adelia-pentru-evenimente-si-mireasa-7754732,https://cdnmpro.com/129530482/p/raw/7/cercei-lungi-adelia-pentru-evenimente-si-mireasa~8397127.jpg,115,,1,0
Perfectbijoux.ro,cercei,"Perfect Bijoux",7754730,"Cercei stelute Bliss, din argint aurit",//profitshare.ro/lps/mrq/K79/?redirect=https%3A%2F%2Fwww.perfectbijoux.ro%2Fcumpara%2Fcercei-stelute-bliss-din-argint-aurit-7754730,https://cdnmpro.com/129530482/p/raw/1/cercei-stelute-bliss-din-argint-aurit~8397111.jpg,65,,1,0
Perfectbijoux.ro,bratari,"Perfect Bijoux",7754731,"Bratara argint Bliss, aurie, cu stelute",//profitshare.ro/lps/mrq/K79/?redirect=https%3A%2F%2Fwww.perfectbijoux.ro%2Fcumpara%2Fbratara-argint-bliss-aurie-cu-stelute-7754731,https://cdnmpro.com/129530482/p/raw/6/bratara-argint-bliss-aurie-cu-stelute~8397116.jpg,85,,1,0
Perfectbijoux.ro,cercei,"Perfect Bijoux",7754729,"Cercei ocazie Carina, pentru mireasa si rochii de seara",//profitshare.ro/lps/mrq/K79/?redirect=https%3A%2F%2Fwww.perfectbijoux.ro%2Fcumpara%2Fcercei-ocazie-carina-pentru-mireasa-si-rochii-de-seara-7754729,https://cdnmpro.com/129530482/p/raw/6/cercei-ocazie-carina-pentru-mireasa-si-rochii-de-seara~8397106.jpg,95,,1,0
Perfectbijoux.ro,cercei,"Perfect Bijoux",7754726,"Cercei floare aurii Rosemary, trandafir, placati aur roz",//profitshare.ro/lps/mrq/K79/?redirect=https%3A%2F%2Fwww.perfectbijoux.ro%2Fcumpara%2Fcercei-floare-aurii-rosemary-trandafir-placati-aur-roz-7754726,https://cdnmpro.com/129530482/p/raw/9/cercei-floare-aurii-rosemary-trandafir-placati-aur-roz~8397089.jpg,60,51.00,1,0
Perfectbijoux.ro,bratari,"Perfect Bijoux",7754725,"Bratara aurie fixa Giulia, cappuccino",//profitshare.ro/lps/mrq/K79/?redirect=https%3A%2F%2Fwww.perfectbijoux.ro%2Fcumpara%2Fbratara-aurie-fixa-giulia-cappuccino-7754725,https://cdnmpro.com/129530482/p/raw/3/bratara-aurie-fixa-giulia-cappuccino~8397083.jpg,110,,1,0
Perfectbijoux.ro,cercei,"Perfect Bijoux",7750676,"Cercei asimetrici ear cuff cu floricele rosii Tulip",//profitshare.ro/lps/mrq/K79/?redirect=https%3A%2F%2Fwww.perfectbijoux.ro%2Fcumpara%2Fcercei-asimetrici-ear-cuff-cu-floricele-rosii-tulip-7750676,https://cdnmpro.com/129530482/p/raw/1/cercei-asimetrici-ear-cuff-cu-floricele-rosii-tulip~8387311.jpg,90,77.00,1,0
Perfectbijoux.ro,"brose cu cristale si perle","Perfect Bijoux",7750703,"Brosa sacou Ilaria, aurie, in forma de pana",//profitshare.ro/lps/mrq/K79/?redirect=https%3A%2F%2Fwww.perfectbijoux.ro%2Fcumpara%2Fbrosa-sacou-ilaria-aurie-in-forma-de-pana-7750703,https://cdnmpro.com/129530482/p/raw/3/brosa-sacou-ilaria-aurie-in-forma-de-pana~8387453.jpg,135,,1,0
